time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
34,7,96.4286,3,1.56185,19456,0
34,8,96.4286,3,1.56185,19456,0
35,2,96.4286,3,1.56185,20224,0
35,3,96.4286,3,1.56185,20224,0
35,4,96.4286,3,1.56185,20224,0
35,5,96.4286,3,1.56185,20224,0
35,6,96.4286,3,1.56185,20224,0
35,7,96.4286,3,1.56185,20224,0
35,8,100,2,1.56185,20224,0
36,2,96.4286,3,1.56185,19840,0
36,3,100,2,1.56185,19840,0
36,4,96.4286,3,1.56185,19840,0
36,5,96.4286,3,1.56185,19840,0
36,6,96.4286,3,1.56185,19840,0
36,7,96.4286,3,1.56185,19840,0
36,8,96.4286,3,1.56185,19840,0
37,2,96.4286,3,1.56185,19520,0
37,3,96.4286,3,1.56185,19520,0
37,4,96.4286,3,1.56185,19520,0
37,5,96.4286,3,1.56185,19520,0
37,6,96.4286,3,1.56185,19520,0
37,7,96.4286,3,1.56185,19520,0
37,8,100,2,1.56185,19520,0
38,2,96.4286,3,1.56185,19840,0
38,3,96.4286,3,1.56185,19840,0
38,4,100,2,1.56185,19840,0
38,5,96.4286,3,1.56185,19840,0
38,6,96.4286,3,1.56185,19840,0
38,7,96.4286,3,1.56185,19840,0
38,8,96.4286,3,1.56185,19840,0
39,2,96.4286,3,1.56185,19200,0
39,3,100,2,1.56185,19200,0
39,4,96.4286,3,1.56185,19200,0
39,5,96.4286,3,1.56185,19200,0
39,6,96.4286,3,1.56185,19200,0
39,7,96.4286,3,1.56185,19200,0
39,8,96.4286,3,1.56185,19200,0
40,2,100,4,3.1237,20160,0
40,3,96.4286,3,3.1237,20160,0
40,4,96.4286,3,3.1237,20160,0
40,5,100,2,3.1237,20160,0
40,6,96.4286,3,3.1237,20160,0
40,7,96.4286,3,3.1237,20160,0
40,8,100,2,3.1237,20160,0
41,2,96.4286,3,1.56185,19712,0
41,3,96.4286,3,1.56185,19712,0
41,4,96.4286,3,1.56185,19712,0
41,5,96.4286,3,1.56185,19712,0
41,6,96.4286,3,1.56185,19712,0
41,7,96.4286,3,1.56185,19712,0
41,8,100,2,1.56185,19712,0
42,2,96.4286,3,1.56185,19072,0
42,3,100,2,1.56185,19072,0
42,4,96.4286,3,1.56185,19072,0
42,5,96.4286,3,1.56185,19072,0
42,6,96.4286,3,1.56185,19072,0
42,7,96.4286,3,1.56185,19072,0
42,8,96.4286,3,1.56185,19072,0
